"filename", "language", "Python", "comment", "blank", "total"
"d:\OneDrive\Projects\Templates\TemplatesPy\bignum.py", "Python", 128, 17, 17, 162
"d:\OneDrive\Projects\Templates\TemplatesPy\disjoint_set.py", "Python", 29, 3, 7, 39
"d:\OneDrive\Projects\Templates\TemplatesPy\geometry.py", "Python", 187, 18, 34, 239
"d:\OneDrive\Projects\Templates\TemplatesPy\graphs.py", "Python", 60, 1, 15, 76
"d:\OneDrive\Projects\Templates\TemplatesPy\hanoi.py", "Python", 25, 4, 6, 35
"d:\OneDrive\Projects\Templates\TemplatesPy\kdtree.py", "Python", 71, 7, 17, 95
"d:\OneDrive\Projects\Templates\TemplatesPy\numsystem.py", "Python", 38, 14, 14, 66
"d:\OneDrive\Projects\Templates\TemplatesPy\numtheo.py", "Python", 11, 1, 2, 14
"d:\OneDrive\Projects\Templates\TemplatesPy\stringtools.py", "Python", 41, 2, 9, 52
"d:\OneDrive\Projects\Templates\TemplatesPy\test.py", "Python", 38, 2, 10, 50
"Total", "-", 628, 69, 131, 828
